genes	logFC	AveExpr	t	P.Value	adj.P.Val	B	Stage
jg6417	-3.38612827047752	7.08466456444881	-9.85690583019194	1.06720374917502e-11	1.16538649409912e-07	16.2995658355743	72h
jg15945	-3.01172577744692	2.15325140970002	-6.44946926308681	1.86795699884331e-07	0.00101990452136844	6.95703051727187	72h
jg7252	3.61275931296567	-3.09703964550529	6.26294987504169	3.29239606769747e-07	0.00109676941988083	5.75208861419047	72h
jg10292	6.43259425479007	-3.49519778117628	6.1975785734859	4.01747040249387e-07	0.00109676941988083	5.3716103424411	72h
jg14117	2.53984351215748	0.132144827856846	5.65706277923293	2.09324768147788e-06	0.0039620236159677	4.84267167149877	72h
jg2970	3.69568138379608	-0.974118458892702	5.64424295004596	2.17693605272951e-06	0.0039620236159677	4.85130532427691	72h
jg7839	3.83517091471867	0.0142076031075365	5.44356108912509	4.02066379802284e-06	0.00627223552491562	3.94114632208483	72h
jg12061	-3.52996412622269	-2.04742467327733	-5.25018113509293	7.25674620765565e-06	0.00990545857344996	3.1579441398271	72h
jg8680	3.42111170317699	-0.098307589506872	6.6876293519372	9.0852734015848e-08	0.000945842575887204	7.72346144898769	5days
jg3272	-3.4299681822585	0.957954328220658	-6.47432520831374	1.73231241004982e-07	0.000945842575887204	7.0655799538439	5days
jg1153	-6.95209469337253	-3.45715241829045	-7.63700728268095	5.37040570687775e-09	5.86448303191051e-05	8.08114072107966	mel
jg16265	-2.36776277902505	1.06582345803542	-6.8083884157931	6.31322540576457e-08	0.000344702107154745	8.16932307195578	mel
jg15101	-3.88338095535998	-1.37921447122926	-6.55859048602793	1.34198897905708e-07	0.000488483988376775	6.40542243432146	mel
